ep,reward
1,6.86745240958
2,6.87223741762
3,8.38902081507
4,6.83293323538
5,6.85076389853
6,8.09904985413
7,7.07186671415
8,12.9846583946
9,12.0590592936
10,10.3993919696
11,7.64896409234
12,9.62003498445
13,7.3958596446
14,7.64367360264
15,14.5224647253
16,7.65318235991
17,15.0816861381
18,10.6686174117
19,9.09843088614
20,10.9597554617
21,8.36018508314
22,12.4113805412
23,11.7814698242
24,9.93497539108
25,9.12167094604
26,11.235252605
27,7.90262315347
28,6.64659292951
29,9.54331809701
30,7.6510855627
31,8.12469692162
32,8.53674244391
33,11.2442992003
34,7.96379089716
35,8.70917033117
36,8.5447812883
37,8.54349204109
38,7.99371012485
39,6.06211958336
40,7.61315487877
41,6.2714834785
42,10.9902775261
43,11.4931646211
44,8.99496631257
45,6.94772445482
46,7.11174209091
47,8.29969155761
48,14.1365026001
49,9.16600613272
50,12.2295647493
51,12.0261784492
52,11.3649170414
53,12.9544767249
54,12.8384954976
55,11.7834026629
56,13.0107818691
57,12.3903831343
58,12.591215811
59,12.4902817198
60,12.9825710156
61,11.4660926342
62,12.9539570771
63,13.2240938692
64,12.5161348341
65,13.0348802781
66,13.1359405561
67,12.7318716259
68,11.7754373802
69,11.8830605882
70,13.0147879593
71,12.1876750965
72,12.2963516924
73,11.71830751
74,12.1272637496
75,12.8483596295
76,12.5573425862
77,12.2245581323
78,13.3200400102
79,12.7125717324
80,12.4765729399
81,13.2547448568
82,12.717588458
83,11.8005498615
84,11.816353445
85,11.7796736876
86,13.1888962806
87,13.8378511887
88,12.5246756107
89,11.250147755
90,12.4944335476
91,11.5034709901
92,12.4917756589
93,12.3858864253
94,12.5142663928
95,11.4616043494
96,11.9041590266
97,11.9942103726
98,12.1675655
99,13.2646988007
100,13.0357281549
101,12.2650435045
102,11.9853198364
103,12.5675241474
104,13.1748012217
105,13.2444167806
106,12.3154317404
107,11.4199570829
108,12.6481931469
109,11.1157703498
110,12.4477243826
111,11.792684644
112,12.2771852331
113,13.0430923382
114,11.9782445128
115,11.93886245
116,12.9842846748
117,11.5744110003
118,11.8133867318
119,13.1895498951
120,12.3582590445
121,11.8497126456
122,12.45938755
123,11.8470183477
124,12.2770515122
125,12.3988654168
126,12.138494851
127,12.2864121137
128,12.8380006458
129,12.1485213422
130,11.3479830018
131,13.1531484199
132,13.0957811145
133,12.9069496593
134,12.24655829
135,11.9018509974
136,12.1890205963
137,11.7018122531
138,11.7497353459
139,12.5050268779
140,11.4188855972
141,12.9853508859
142,11.7825234194
143,11.7031918511
144,11.3045155214
145,12.203167852
146,12.7063464834
147,12.5618086526
148,13.0608767466
149,12.7498369089
150,12.4275121438
